Gene Name	Accession-1	Product	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	UniProt	Synonyms
argL	b4766	putative translational regulatory protein ArgL	regulation of translation // negative regulation of cellular process			P0DSE4	
yadX	b4765	protein YadX				P0DSE3	
sdhX	b4764	small regulatory RNA SdhX	sRNA-mediated post-transcriptional gene silencing		mRNA binding // protein binding // mRNA 5'-UTR binding		rybD
sroC	b4763	small regulatory RNA SroC	negative regulation of single-species biofilm formation		regulatory RNA binding		HB_314
sroA	b4762	small RNA SroA					tpe79
sroE	b4761	small RNA SroE			mRNA binding		k20
rirA	b4760	small regulatory RNA RirA	regulation of DNA-templated transcription initiation		protein binding		
3'ETS-<i>leuZ</i>	b4759	small regulatory RNA 3'ETS<sup><i>leuZ</i></sup>	negative regulation of mRNA binding		regulatory RNA binding		
pspH	b4758	small regulatory RNA PspH	RNA destabilization		mRNA binding // protein binding // RNA binding		
ysdD	b4757	protein YsdD				P0DPP8	
yqiD	b4756	protein YqiD		membrane // plasma membrane		P0DPP7	
yqhI	b4755	protein YqhI				P0DPP6	
yqfI	b4754	protein YqfI				P0DPP5	
yqfH	b4753	protein YqfH				P0DPP4	
yecU	b4752	protein YecU		membrane		P0DPP3	
yoaL	b4751	protein YoaL				P0DPP2	
ynfS	b4750	Qin prophage; protein YnfS		membrane // plasma membrane		P0DPP0	
ynfR	b4749	Qin prophage; protein YnfR		membrane		P0DPO9	
ynfT	b4748	Qin prophage; protein YnfT		membrane // plasma membrane		P0DPO8	
yneP	b4747	protein YneP				P0DPO7	
yddY	b4746	protein YddY		membrane		P0DPO6	
yncO	b4745	protein YncO		membrane // plasma membrane		P0DPO5	
ynaM	b4744	Rac prophage; protein YnaM		membrane // plasma membrane		P0DPO4	
ynaL	b4743	protein YnaL				P0DPO3	C0343
ymjE	b4742	protein YmjE				P0DPO2	
ymiC	b4741	protein YmiC		membrane // plasma membrane		P0DPO1	
ymgM	b4740	protein YmgM				P0DPO0	
ymgL	b4739	protein YmgL		membrane		P0DPN9	
ymgK	b4738	protein YmgK		membrane		P0DPN8	
ymdG	b4737	protein YmdG				P0DPN7	
yliM	b4736	protein YliM				P0DPN6	
ybgU	b4735	protein YbgU		membrane		P0DPN5	
yldA	b4734	protein YldA		membrane // plasma membrane		P0DPN4	
ylcJ	b4733	DLP12 prophage; protein YlcJ		membrane		P0DPN3	
ykiD	b4732	protein YkiD				P0DPN2	
ykiC	b4731	protein YkiC		membrane // plasma membrane		P0DPN1	
yahV	b4730	protein YahV		membrane // plasma membrane		P0DPN0	
ykgV	b4729	CP4-6 prophage; protein YkgV				P0DPM9	
yadW	b4728	protein YadW		membrane		P0DPM7	
yacM	b4727	protein YacM				P0DPM6	
yabR	b4726	protein YabR				P0DPM5	
rseD	b4725	<i>rpoE</i> leader peptide	regulation of translation			P0DPC7	
ynfQ	b4724	Qin prophage; protein YnfQ				P0DPC9	
ymcF	b4723	protein YmcF				P0DPC8	
idlP	b4722	<i>iraD</i> leader peptide	regulation of translation			P0DPC6	
ytiD	b4721	protein YtiD				P0DPC5	
ytiC	b4720	protein YtiC		membrane // plasma membrane		P0DPC4	
sdsN	b4719	small regulatory RNA SdsN	negative regulation of cellular process		sequence-specific mRNA binding // mRNA binding // protein binding		
gadF	b4718	small regulatory RNA GadF	regulation of cellular process		protein binding // mRNA binding		
micL	b4717	small regulatory RNA MicL-S	negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing		protein binding // mRNA binding		slrA // ryeF
cpxQ	b4716	small regulatory RNA CpxQ	regulatory ncRNA-mediated post-transcriptional gene silencing // negative regulation of translation // cellular response to cell envelope stress		mRNA 5'-UTR binding		
ytiA	b4715	uncharacterized protein YtiA		membrane		P0DN74	
ralA	b4714	Rac prophage; small regulatory RNA antitoxin RalA			protein binding // mRNA binding		
agrB	b4713	small regulatory RNA AgrB	negative regulation of translational initiation // response to UV		mRNA 5'-UTR binding		
agrA	b4712	small RNA AgrA					
insH21	b4711	IS<i>5</i> transposase and trans-activator	transposition // DNA transposition // DNA recombination		transposase activity // DNA binding	A0A385XJE6	
insB9	b4710	IS1 transposase B					
insA9	b4709	IS1 repressor TnpA					
insI2	b4708						
esrE	b4707	small RNA EsrE					
iroK	b4706	protein IroK		membrane		U3PVA8	
mntS	b4705	small protein MntS	intracellular manganese ion homeostasis // cellular response to manganese ion	cytoplasm		P0DKB3	G0-8881
arrS	b4704	small regulatory RNA ArrS	positive regulation of cytoplasmic translation // cellular stress response to acid chemical		sequence-specific mRNA binding		
pmrR	b4703	small regulatory membrane protein PmrR		membrane // plasma membrane	enzyme inhibitor activity	G3MTW7	
mgtL	b4702	leader peptide MgtL	response to magnesium ion // transcriptional attenuation by ribosome			E2JKY7	
sokX	b4701	small RNA SokX					
b4700	b4700						
fnrS	b4699	small regulatory RNA FnrS	sRNA-mediated post-transcriptional gene silencing		mRNA binding // protein binding		rydA
mgrR	b4698	small regulatory RNA MgrR	sRNA-mediated post-transcriptional gene silencing		mRNA binding // protein binding		
yrdF	b4697						
yneO	b4696	AIDA-I family autotransporter YneO		outer membrane // membrane // plasma membrane		P32051	orfT // ydeK // ydeU // b1509 // b1510 // ECK1502
aaaE	b4693	phage terminase		cytosol			
oweE	b4692	phage replication protein		cytosol			
sroH	b4691	small RNA SroH			mRNA binding		
eyeA	b4690	CP4-6 prophage; small RNA EyeA					
rzoQ	b4689	Qin prophage; putative lipoprotein RzoQ		membrane // plasma membrane		C1P601	
ykgS	b4688	CP4-6 prophage; protein YkgS		membrane		P0DPM8	
shoB	b4687	toxic peptide ShoB	programmed cell death	plasma membrane // membrane		C1P611	yphI // ryfB // b4681
yshB	b4686	uncharacterized protein YshB		membrane		C1P620	
yrbN	b4685	uncharacterized protein YrbN		membrane		C1P618	
yqfG	b4684	uncharacterized protein YqfG		plasma membrane		C1P614	
yqeL	b4683	uncharacterized protein YqeL		membrane		C1P613	
yqcG	b4682	cell envelope stress response protein YqcG	cellular response to cell envelope stress	membrane		C1P612	
ypdK	b4680	uncharacterized membrane protein YpdK		plasma membrane // membrane		C1P610	
yohP	b4679	uncharacterized membrane protein YohP		plasma membrane // membrane		C1P609	
yoeI	b4678	uncharacterized protein YoeI		membrane		C1P606	
yobI	b4677	uncharacterized protein YobI		membrane		C1P604	
yoaK	b4676	uncharacterized membrane protein YoaK		plasma membrane // membrane		C1P602	
yoaJ	b4675	uncharacterized protein YoaJ		plasma membrane // membrane		C1P603	
ynbG	b4674	uncharacterized protein YnbG				C1P600	
ymjD	b4673	uncharacterized protein YmjD				P0CD93	
ymiB	b4672	putative protein YmiB		membrane		C1P5Z9	
ykgR	b4671	uncharacterized membrane protein YkgR		membrane // plasma membrane		C1P5Z8	
yjeV	b4670	uncharacterized protein YjeV				C1P621	
ilvX	b4669	uncharacterized protein IlvX				C1P619	
ibsB	b4668	putative toxic peptide IbsB	programmed cell death	plasma membrane		C1P608	
ibsA	b4667	toxic peptide IbsA	programmed cell death	plasma membrane		C1P607	
ibsE	b4666	toxic peptide IbsE	programmed cell death	plasma membrane		C1P617	
ibsC	b4665	toxic peptide IbsC	programmed cell death	plasma membrane		C1P615	
ibsD	b4664	putative toxic peptide IbsD	programmed cell death	plasma membrane // membrane		C1P616	
azuC	b4663	small regulatory membrane protein AzuC		membrane // plasma membrane	protein binding // enzyme activator activity	C1P605	
sgrT	b4662	PtsG glucose transporter inhibitor	organic substance transport // phosphoenolpyruvate-dependent sugar phosphotransferase system // negative regulation of glucose import		protein binding // enzyme inhibitor activity	C1P5Z7	
yfcU	b4661	putative outer membrane usher protein YfcU	pilus assembly // transmembrane transport // pilus organization	membrane // cell outer membrane	fimbrial usher porin activity	P77196	ECK2331 // yfcT // b2338 // b2337
yhiL	b4660	DUF4049 domain-containing protein YhiL				P37629	b3490 // b3489 // ECK3474 // yhiK
yghX	b4658	putative hydrolase fragment			hydrolase activity	Q7DFU6	b2999 // yghY // b3000 // ECK2994 // orf_f136
yjhZ	b4657	KpLE2 phage-like element; putative acetyltransferase YjhZ					
yjhY	b4656						
ythA	b4655	KpLE2 phage-like element; uncharacterized protein YthA		membrane // plasma membrane		A8DYQ1	
yjdQ	b4654						
yicT	b4653						erhM // rhuM
yibU	b4652						
yibW	b4651						
yibS	b4650	RHS family protein YibS					
ysaD	b4649						
ysaC	b4648						
mokA	b4647						
yrdE	b4646						
psaA	b4645						
ypjI	b4644	putative UPF0401 protein YpjI				P58095	
pawZ	b4643						
yoeD	b4642						
yoeH	b4641						
yoeG	b4640						
yeeH	b4639						
ttcC	b4638	putative tRNA 2-thiocytidine (s(2)C32) synthase		cytosol			
uof	b4637	RyhB-regulated <i>fur</i> leader peptide	regulation of translation			A8DYP9	
ybfI	b4636						
aaaD	b4634	DLP12 prophage; protein AaaD		cytosol			ylcF
xisD	b4633	excisionase		cytosol			ybcB
ylbI	b4632	RHS element protein YlbI		membrane			
ykgQ	b4631						
ykgP	b4630	putative oxidoreductase		cytosol			
ykfK	b4628						
ykfL	b4627						
ykfN	b4626	YdiA family protein		membrane			
symR	b4625	small regulatory RNA antitoxin SymR	sRNA-mediated post-transcriptional gene silencing		mRNA regulatory element binding translation repressor activity		ryjC
ryjB	b4624	small RNA RyjB					
insO	b4623	KpLE2 phage-like element; IS911B regulator fragment	DNA transposition // DNA integration // transposition // DNA recombination	cytosol	transposase activity // nucleic acid binding // DNA binding	P39212	yi91 // yi91b // b4283 // ECK0257 // insN2 // insO2 // b4285 // ECK4274 // b4562 // ECK4275 // yjhW
ytcA	b4622	putative lipoprotein YtcA		membrane // plasma membrane		A5A630	
yjbS	b4621	uncharacterized protein YjbS				P58036	
yjbT	b4620	PF17089 family protein YjbT		outer membrane-bounded periplasmic space		A5A628	
tisB	b4618	membrane-depolarizing toxin TisB	monoatomic anion transmembrane transport // DNA damage response // dormancy process // SOS response	plasma membrane // membrane	monoatomic anion channel activity	A5A627	ysdB
tisA	b4617						ysdA
istR	b4616	small regulatory RNA IstR-1 // small RNA IstR-2	sRNA-mediated post-transcriptional gene silencing		mRNA 5'-UTR binding // mRNA binding		psrA19 // istR-1 // istR-2
yibV	b4615	PF15596 family protein YibV				A5A625	
sokA	b4614						
dinQ	b4613	membrane toxin DinQ	DNA damage response	plasma membrane // membrane		A5A624	
yrhD	b4612	uncharacterized protein YrhD				P58037	
sibE	b4611	small RNA SibE	regulatory ncRNA-mediated post-transcriptional gene silencing				QUAD1e // rygE
ygdT	b4610	hypothetical protein YgdT		membrane			
ryfD	b4609	small regulatory RNA RyfD	negative regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility				
ohsC	b4608	small regulatory RNA OhsC	regulatory ncRNA-mediated post-transcriptional gene silencing				ryfC
ryfB	b4607						shoB
ypfM	b4606	uncharacterized protein YpfM		cytoplasm		A5A621	
ypaB	b4605	protein YpaB					
yojO	b4604	uncharacterized protein YojO		membrane		A5A619	
rseX	b4603	small regulatory RNA RseX	positive regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing		mRNA base-pairing translational repressor activity // protein binding		IS096
cydH	b4602	cytochrome <i>bd</i>-I accessory subunit CydH	cellular response to hypoxia	plasma membrane // cytochrome complex // membrane	protein binding	A5A618	ynhF // cydY
ydgU	b4601	uncharacterized protein YdgU		plasma membrane		A5A617	
mgtS	b4599	small protein MgtS	magnesium ion homeostasis // cellular response to magnesium starvation	plasma membrane // membrane	protein binding	A5A616	yneM
yncL	b4598	uncharacterized protein YncL		membrane // plasma membrane		A5A615	
rydC	b4597	small regulatory RNA RydC	cellular stress response to acidic pH // regulation of translation, ncRNA-mediated // negative regulation of bacterial-type flagellum-dependent cell motility // regulatory ncRNA-mediated post-transcriptional gene silencing		mRNA binding // protein binding		
yciZ	b4596	UPF0509 family protein YciZ		membrane		A5A614	deoL
yciY	b4595	uncharacterized protein YciY				A5A613	
ymgJ	b4594	uncharacterized protein YmgJ				A5A612	
ymgI	b4593	uncharacterized protein YmgI		membrane		A5A611	
appX	b4592	cytochrome <i>bd</i>-II accessory subunit AppX		plasma membrane // membrane // cell outer membrane	protein binding	P24244	yccB // cbdX
ybhU	b4591						
ybfK	b4590						
ylcI	b4589	DLP12 prophage; DUF3950 domain-containing protein YlcI				A5A607	
ylcH	b4588	DLP12 prophage; uncharacterized protein YlcH				Q47268	
insN	b4587	CP4-6 prophage; IS911A regulator fragment	DNA recombination // DNA transposition // transposition	cytosol	DNA binding // transposase activity // protein binding	P75679	yi91a // b0255 // b0257
ykfM	b4586	uncharacterized protein YkfM	response to antibiotic // DNA damage response	plasma membrane // membrane		A5A605	
chiX	b4585	small regulatory RNA ChiX	negative regulation of single-species biofilm formation // regulatory ncRNA-mediated post-transcriptional gene silencing		mRNA binding // mRNA 5'-UTR binding // protein binding		sroB // rybC // micM
rpnD	b4584	putative inactive recombination-promoting nuclease-like protein RpnD	DNA recombination // single-species biofilm formation		double-stranded DNA endonuclease activity	P0DP21	yjiP // b4338 // ECK4330 // yjiQ // b4339
phnE	b4583	phosphonate/phosphate ABC transporter membrane subunit	transmembrane transport // organic phosphonate transport	membrane // plasma membrane		P0DP69	ECK4097 // b4103 // b4104
yoeA	b4582	CP4-44 prophage; TonB-dependent receptor plug domain-containing protein YoeA		membrane		P76356	yoeE // b1995 // b1998 // ECK1990
ybeM	b4581	deamidated glutathione amidase, N-terminal fragment	metabolic process // nucleobase-containing compound metabolic process	cytosol	bis(5'-adenosyl)-triphosphatase activity	P0DP63	ybeH // b0626 // b0625 // ECK0619
yaiT	b4580	putative autotransporter YaiT		membrane // outer membrane		P77199	yaiU // b0371 // b0374 // ECK0369
yaiX	b4579	putative acyltransferase, N-terminal fragment		cytosol	acyltransferase activity // transferase activity	P75697	yaiF // b0362 // b0359 // ECK0359
yncK	b4578						insP // b4531 // b4530
sgrS	b4577	small regulatory RNA SgrS	positive regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility // positive regulation of translation, ncRNA-mediated // response to stress // sRNA-mediated post-transcriptional gene silencing		mRNA binding // protein binding		ryaA
insB7	b4576						b4563 // b4564
yjgX	b4575	KpLE2 phage-like element; putative phosphoethanolamine transferase YjgX, N-terminal fragment		membrane // plasma membrane	transferase activity	P39349	yjgY // b4276 // b4275 // b4560
insZ	b4573	putative transposase InsZ	DNA transposition		transposase activity // DNA binding	P30192	ychG // b1240 // b1239
ylbE	b4572	DUF1116 domain-containing protein YlbE		cytosol		P77129	b0519 // G0-10554 // b4507
wbbL	b4571	interrupted rhamnosyltransferase WbbL	lipopolysaccharide biosynthetic process // extracellular polysaccharide biosynthetic process	membrane	glycosyltransferase activity // transferase activity // hexosyltransferase activity	P36667	yefJ // b2031 // b4540
lomR	b4570	Rac prophage; protein LomR_1		host outer membrane // membrane		P77184	b1369 // b1371
yhcE	b4569	putative uncharacterized protein YhcE		membrane		P45421	b3217 // b4549
ytjA	b4568	DUF1328 domain-containing protein YtjA		membrane // plasma membrane		Q2M5U1	
yjjZ	b4567	DUF1435 domain-containing protein YjjZ		plasma membrane		P55914	
topAI	b4566	KpLE2 phage-like element; toxin of the TopAI-YjhQ toxin-antitoxin system, TopA inhibitor			protein binding // DNA topoisomerase binding	Q2EEU2	yjhX
sgcB	b4565	putative PTS enzyme IIB component SgcB	organic substance transport // sorbitol transmembrane transport // phosphorylation // carbohydrate transport // phosphoenolpyruvate-dependent sugar phosphotransferase system	transmembrane transporter complex // cytoplasm // cytosol	kinase activity // transferase activity // protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	P58035	
insM	b4561						
ghoT	b4559	toxin of the GhoTS toxin-antitoxin system		cell pole // plasma membrane // membrane		P64646	yjdO
lptM	b4558	LptD oxidative maturation-associated lipoprotein	Gram-negative-bacterium-type cell outer membrane assembly	plasma membrane // membrane	protein binding	P0ADN6	yifL
yidD	b4557	membrane protein insertion efficiency factor	protein insertion into membrane	membrane // plasma membrane	membrane insertase activity	P0A8C8	
yicS	b4555	uncharacterized protein YicS		plasma membrane		Q2M7X4	
yibT	b4554	protein YibT				Q2M7R5	
ysaB	b4553	putative lipoprotein YsaB		membrane // plasma membrane		Q2M7M3	
yrhC	b4552						
yheV	b4551	DUF2387 domain-containing protein YheV		cytosol		P0ADW8	
arfA	b4550	alternative ribosome-rescue factor A	regulation of translation // rescue of stalled ribosome		rRNA binding // RNA binding // tRNA binding // ribosomal large subunit binding	P36675	yhdL
ypjJ	b4548	CP4-57 prophage; DUF987 domain-containing protein YpjJ				P58033	
ypfN	b4547	PF13980 family protein YpfN		membrane // plasma membrane		Q2EET2	
ypeB	b4546	PF12843 family protein YpeB		cytosol		P0AD40	
ypdJ	b4545	CPS-53 (KpLE1) prophage; putative uncharacterized protein YpdJ		cytosol		Q2EET0	
arnE	b4544	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit	response to chemical // transmembrane transport // lipid metabolic process // lipid A biosynthetic process // lipopolysaccharide biosynthetic process // carbohydrate derivative transport // response to iron(III) ion	membrane // plasma membrane	transmembrane transporter activity // carbohydrate derivative transmembrane transporter activity	Q47377	yfbW
ypaA	b4543	protein YpaA	DNA recombination	cytosol	double-stranded DNA endonuclease activity	V9HVX0	
yohO	b4542	UPF0387 family protein YohO		membrane // plasma membrane		Q2EES6	
yehK	b4541	uncharacterized protein YehK		cytosol		P33347	
yoeB	b4539	ribosome-dependent mRNA interferase toxin YoeB	negative regulation of DNA-templated transcription // regulation of DNA-templated transcription // regulation of growth // global gene silencing by mRNA cleavage // RNA catabolic process // response to heat // mRNA catabolic process // single-species biofilm formation // negative regulation of translational initiation	toxin-antitoxin complex // cytosol	RNA binding // nuclease activity // endonuclease activity // hydrolase activity // protein homodimerization activity // RNA endonuclease activity, producing 3'-phosphomonoesters // ribosomal small subunit binding // RNA endonuclease activity // protein binding	P69348	
yoeF	b4538	CP4-44 prophage; putative uncharacterized protein YoeF	biogenic amine metabolic process	cytosol	ATP binding	Q2EES3	
yecJ	b4537	DUF2766 domain-containing protein YecJ		cytosol		P0AD10	
yobH	b4536	uncharacterized protein YobH		plasma membrane		Q2MB16	
yniD	b4535	uncharacterized protein YniD		plasma membrane // membrane		Q2EES1	
ynfP	b4534	protein YnfP				P0DPP1	ydfJ_1
ynfO	b4533	Qin prophage; DUF3950 domain-containing protein YnfO		cytosol		Q2EES0	
hicA	b4532	mRNA interferase toxin HicA	regulation of DNA-templated transcription // regulation of growth // mRNA catabolic process	toxin-antitoxin complex	protein binding // hydrolase activity // endonuclease activity // nuclease activity // mRNA binding // RNA binding // RNA endonuclease activity	P76106	yncN
ydbJ	b4529	DUF333 domain-containing protein YdbJ		outer membrane-bounded periplasmic space		P0ACW2	
rzoR	b4528	Rac prophage; putative prophage outer membrane lipoprotein RzoR	killing of cells of another organism // viral release from host cell by cytolysis	cell outer membrane // membrane		P58042	
ydaF	b4527	Rac prophage; DUF1391 domain-containing protein YdaF				P0ACW0	
ydaE	b4526	Rac prophage; zinc-binding protein			zinc ion binding	P38394	
ymjC	b4525	putative uncharacterized protein YmjC				Q2EER5	
ymjB	b4524	hypothetical protein YmjB	transmembrane transport // carbohydrate transport	protein-containing complex // membrane // ATP-binding cassette (ABC) transporter complex // ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // cytosol	nucleotide binding // ABC-type transporter activity // ATP hydrolysis activity // ATP binding	P77481	
yciX	b4523	uncharacterized protein YciX				P58094	yciX_2
ymiA	b4522	uncharacterized protein YmiA		plasma membrane // membrane		P0CB62	yciX_1
ycgI	b4521	protein YcgI		outer membrane		P76000	ymgH // b1173 // ECK1160
ymgF	b4520	inner membrane protein YmgF	cell cycle // cell division	membrane // division septum // plasma membrane	protein binding	P58034	
icdC	b4519	protein IcdC		membrane			
ymdF	b4518	stress-induced bacterial acidophilic repeat motifs-containing protein YmdF	cell adhesion involved in single-species biofilm formation	cytosol		P56614	
gnsA	b4517	putative phosphatidylethanolamine synthesis regulator GnsA		cytosol	identical protein binding // protein homodimerization activity	P0AC92	yccL // sfa
insA4	b4516	IS1 protein InsA	DNA transposition // transposition // DNA recombination			P0CF10	
cydX	b4515	cytochrome <i>bd</i>-I accessory subunit CydX	aerobic electron transport chain // oxidative phosphorylation	membrane // cytochrome complex // plasma membrane // outer membrane	protein binding // oxidoreductase activity, acting on diphenols and related substances as donors	P56100	ybgT
ybfQ	b4514	inactive transposase YbfQ		cytosol		Q2EEQ8	
kdpF	b4513	K<sup>+</sup> transporting P-type ATPase subunit KdpF	potassium ion transport // monoatomic ion transport // monoatomic cation transmembrane transport // potassium ion transmembrane transport	potassium:proton antiporter complex // plasma membrane // membrane // potassium ion-transporting ATPase complex	P-type potassium transmembrane transporter activity	P36937	
ybdD	b4512	PF04328 family protein YbdD				P0AAS9	
ybdZ	b4511	enterobactin biosynthesis protein YbdZ	siderophore biosynthetic process // enterobactin biosynthetic process	cytosol	protein binding	P18393	
rzoD	b4510	DLP12 prophage; putative prophage lysis lipoprotein RzoD	killing of cells of another organism // viral release from host cell by cytolysis	cell outer membrane // membrane		P58041	
ylcG	b4509	DLP12 prophage; uncharacterized protein YlcG				Q47272	
peaD	b4508						ybcD
ykgO	b4506	50S ribosomal subunit protein L36B	translation	ribonucleoprotein complex // ribosome // cytosolic ribosome	structural constituent of ribosome	Q2EEQ2	
insX	b4505						ykgN // ECK0266
ykfH	b4504	DUF987 domain-containing protein YkfH				Q9XB42	
yafF	b4503	putative uncharacterized protein YafF		cytosol		Q2EEP9	
yeiW	b4502	putative metal-chelating domain-containing protein YeiW			protein binding	P0AFT8	
torI	b4501	CPS-53 (KpLE1) prophage; prophage CPS-53 recombination directionality factor and response regulator inhibitor	DNA recombination // negative regulation of DNA-templated transcription initiation // DNA excision		identical protein binding // sequence-specific DNA binding // protein binding // DNA binding	Q2EES9	
yfaS	b4500	putative macroglobulin family protein, N-terminal fragment			endopeptidase inhibitor activity	P76464	yfaR // b2228 // b2227
yehH	b4499						molR // b2116 // yehG // b2117
gatR	b4498	DNA-binding transcriptional repressor GatR, N-terminal fragment	regulation of DNA-templated transcription	membrane	DNA-binding transcription factor activity // DNA binding	P36930	b2090 // b2087
yeeL	b4497	putative glycosyltransferase, N-terminal fragment				P76349	yeeK // b1980 // b1979
yedS	b4496	putative outer membrane protein YedS, N-terminal fragment	monoatomic ion transport // monoatomic ion transmembrane transport	pore complex // membrane // cell outer membrane	porin activity	P76335	b1964 // yedT // b1965 // b1966
yedN	b4495	putative type III secreted effector, N-terminal fragment				P76322	b1934 // yedM // b1935 // ECK1933 // b1933
arpB	b4494	putative ankyrin repeat protein B, N-terminal fragment				P76205	ydiW // ydiX // b1721 // b1720
gapC	b4493	glyceraldehyde-3-phosphate dehydrogenase					b1416 // b1417
ydbA	b4492	putative outer membrane protein, N-terminal fragment		extracellular region // membrane		P33666	b1401 // b1405
ycgH	b4491	putative transporter component, N-terminal fragment					b1169 // b1170
efeU	b4490	inactive ferrous iron permease EfeU	iron ion transmembrane transport	high-affinity iron permease complex // membrane // plasma membrane	ferrous iron transmembrane transporter activity // iron ion transmembrane transporter activity	P75901	ycdN // b1016 // b1017
ilvG	b4488	acetolactate synthase II subunit IlvG	carboxylic acid metabolic process // branched-chain amino acid biosynthetic process // amino acid biosynthetic process // valine biosynthetic process // isoleucine biosynthetic process	acetolactate synthase complex	magnesium ion binding // thiamine pyrophosphate binding // flavin adenine dinucleotide binding // acetolactate synthase activity	P0DP89	ilvO // b3767 // b3768
yjdP	b4487	protein YjdP				Q6BEX5	
yjiV	b4486	putative uncharacterized protein YjiV		cytosol		P39393	mcrD // yjiU // b4343 // b4344
ytfR	b4485	galactofuranose ABC transporter putative ATP binding subunit	organic substance transport // hexose import across plasma membrane // D-galactonate transmembrane transport // transmembrane transport	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing // membrane // plasma membrane // ATP-binding cassette (ABC) transporter complex	ATP hydrolysis activity // ABC-type D-galactofuranose transporter // nucleotide binding // ATPase-coupled transmembrane transporter activity // ATP binding	Q6BEX0	ytfS // b4228 // b4229
cpxP	b4484	periplasmic protein CpxP	regulation of proteolysis // response to stress	periplasmic space // outer membrane-bounded periplasmic space	identical protein binding // unfolded protein binding // protein binding	P0AE85	yiiO // b3913
tatD	b4483	3' &rarr; 5' ssDNA/RNA  exonuclease TatD	DNA metabolic process // response to hydrogen peroxide	cytoplasm // cytosol	magnesium ion binding // 3'-5' exonuclease activity // exonuclease activity // hydrolase activity, acting on ester bonds // hydrolase activity // nuclease activity // single-stranded DNA 3'-5' DNA exonuclease activity // 3'-5'-RNA exonuclease activity // metal ion binding // DNA nuclease activity	P27859	b3841 // yigX // b3840 // mttC // yigW
yigE	b4482	DUF2233 domain-containing protein YigE		membrane		P27840	b3815 // b3814
wecF	b4481	TDP-<i>N</i>-acetylfucosamine:lipid II <i>N</i>-acetylfucosaminyltransferase	fucosylation // enterobacterial common antigen biosynthetic process	plasma membrane // membrane	hexosyltransferase activity // 4-acetamido-4,6-dideoxy-D-galactose transferase activity // glycosyltransferase activity // transferase activity // fucosyltransferase activity	P56258	yifM // b4404 // rff // rffT // b4405
hdfR	b4480	DNA-binding transcriptional dual regulator HdfR	regulation of DNA-templated transcription // negative regulation of DNA-templated transcription	cytosol // cytoplasm	DNA binding // DNA-binding transcription factor activity	P0A8R9	b3762 // yifA // yifD // b3763
